No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,Photo Url,Season
4,Marcelo Huertas,PG,6'-3'',200,25-May-83,br,1,,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/huertma01.jpg,2016-2017
14,Brandon Ingram,SF,6'-9'',190,2-Sep-97,us,R,Duke University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/ingrabr01.jpg,2016-2017
20,Timofey Mozgov,C,7'-1'',275,16-Jul-86,ru,6,,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/mozgoti01.jpg,2016-2017
7,Larry Nance,PF,6'-9'',230,1-Jan-93,us,1,University of Wyoming,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/nancela02.jpg,2016-2017
10,David Nwaba,SG,6'-4'',209,14-Jan-93,us,R,"California Polytechnic State University, San Luis Obispo",https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/nwabada01.jpg,2016-2017
30,Julius Randle,PF,6'-9'',250,29-Nov-94,us,2,University of Kentucky,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/randlju01.jpg,2016-2017
15,Thomas Robinson,PF,6'-10'',237,17-Mar-91,us,4,University of Kansas,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/robinth01.jpg,2016-2017
1,D'Angelo Russell,PG,6'-5'',195,23-Feb-96,us,1,Ohio State University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/russeda01.jpg,2016-2017
23,Lou Williams,SG,6'-1'',175,27-Oct-86,us,11,,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/willilo02.jpg,2016-2017
37,Metta World Peace,SF,6'-6'',260,13-Nov-79,us,16,St. John's University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/artesro01.jpg,2016-2017
0,Nick Young,SG,6'-7'',210,1-Jun-85,us,9,University of Southern California,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/youngni01.jpg,2016-2017
